Location,Area_sqft,BHK,Bathrooms,Floor,Total_Floors,Age_of_Property,Parking,Lift,Actual_Price
 panvel,874.76,2BHK,2.0,12,6.0,5.9,No,,9795872
CBD Belapur,5198.83,2,3.0,16,13.0,11.0,,YES,58572703
Ulwe,1331.04,1,3.0,31,8.0,10.8,no,YES,15490301
CBD Belapur,771.12,1,4.0,11,25.0,13.9,Yes,YES,14703647
Nerul,594.1,,4.0,8,6.0,3.8,yes,Yes,₹10356747
Belapur,1198.78,2BHK,1.0,17,15.0,7.4,,NO,14601160
CBD Belapur,612.7,4,,9,38.0,21.0,No,,12819062
Panvel,718.26,4,1.0,,16.0,3.4,Yes,NO,13531794 INR
Kharghar,929.04,2,4.0,17,35.0,18.2,,NO,13429300
Panvel,831.96,2BHK,4.0,3,28.0,13.9,No,No,11802558
Vashi,1062.25,2,,4,36.0,18.6,No,No,19489923
nerul,647.7,4,3.0,11,2.0,11.2,yes,,8966977
Ulwe,714.22,2,2.0,32,29.0,1.5,yes,Yes,10383975
,1463.77,3,,Ground,5.0,14.3,Yes,No,21395030
Ghansoli,4460.27,4,,16,19.0,10.4,,YES,52946640
Panvel,854.91,2BHK,1.0,9,25.0,9.4,Yes,Yes,13602445
nerul,1108.24,2,3.0,34,26.0,5.0,,,12417738 INR
Kharghar,2867.19,4,,6,14.0,14.7,No,Yes,46962086
Panvel,742.56,2,4.0,9,16.0,1.1,no,,12117017
Belapur,391.68,3,1.0,15,14.0,11.5,,Yes,₹5622023
,861.99,3,,32,15.0,7.2,,NO,9218454
Nerul,859.41,2BHK,1.0,18,8.0,2.2,Yes,NO,14829561
Vashi,864.67,3,2.0,21,17.0,13.8,yes,YES,12060645
Ghansoli,763.72,,3.0,24,2.0,18.2,Yes,,11991412
Kharghar,1545.65,2,,26,31.0,21.6,Yes,NO,27779643
Airoli,318.25,4,1.0,16,26.0,8.9,,No,5750475
CBD Belapur,1590.52,4,3.0,23,23.0,6.8,,NO,32766683
Vashi,989.07,3,3.0,17,23.0,0.4,no,No,10644399 INR
CBD Belapur,1485.44,1,4.0,4,4.0,3.8,yes,Yes,13646639
KHARGHAR ,857.56,2,3.0,10,24.0,7.7,No,NO,15933556
CBD Belapur,478.22,2BHK,2.0,25,13.0,16.6,Yes,YES,6214148
KHARGHAR ,861.24,3,2.0,23,10.0,0.1,No,NO,18127195
Kharghar,-60.29,2BHK,3.0,22,38.0,8.4,Yes,YES,-926764
,1142.13,,3.0,10,32.0,6.3,No,Yes,20264278
Vashi,1101.53,1,1.0,17,19.0,12.2,no,No,15133803 INR
CBD Belapur,488.66,3,,,22.0,14.8,,YES,5272891
nerul,1185.8,1,2.0,23,23.0,9.0,Yes,No,18035996
Vashi,850.46,2,3.0,34,17.0,13.3,yes,,16048242
Airoli,206.27,4,3.0,10,9.0,8.3,,NO,2538459
Airoli,1085.35,2BHK,3.0,29,9.0,2.6,yes,YES,16484569
Panvel,452.07,3,1.0,19,20.0,8.1,,,5712246 INR
KHARGHAR ,1107.59,1,4.0,19,25.0,3.2,,Yes,12823716
nerul,945.08,4,,28,18.0,7.0,yes,No,11455589
Ulwe,537.2,,4.0,26,10.0,12.0,No,No,5890064 INR
Kharghar,668.07,4,,3,15.0,22.9,no,No,12174785
KHARGHAR ,1198.22,3,,31,17.0,7.0,Yes,Yes,13715419
Belapur,472.55,1,4.0,21,5.0,13.5,,No,5700527
 panvel,589.94,2BHK,,9,8.0,5.5,yes,,6195682
Vashi,648.72,2,4.0,2,26.0,7.3,no,YES,11067330
Ghansoli,999.57,1,3.0,,29.0,3.2,yes,Yes,17234469
Vashi,1140.73,2BHK,,16,5.0,5.1,No,No,12010489
KHARGHAR ,965.02,,,23,36.0,14.6,yes,NO,13189802
nerul,551.84,1,,9,9.0,19.0,No,NO,8032443
,557.9,,3.0,11,1.0,26.4,no,Yes,7159620
Nerul,1227.09,,4.0,23,16.0,0.4,No,,20204392
Airoli,841.04,4,4.0,20,5.0,4.6,yes,Yes,16739291
Kharghar,1113.18,1,2.0,19,33.0,10.1,,YES,16041285
nerul,1073.07,1,4.0,7,7.0,1.4,No,YES,17730034
Kharghar,1375.11,2BHK,,14,23.0,3.6,No,NO,16272747
Nerul,1066.55,3,4.0,27,1.0,8.2,Yes,Yes,19341337
 panvel,858.56,3,4.0,34,6.0,2.0,No,No,13655228
KHARGHAR ,248.29,4,4.0,29,9.0,8.6,Yes,Yes,6114694
nerul,1433.31,3,2.0,23,4.0,2.5,no,No,22404782
Ghansoli,12.01,3,4.0,9,17.0,7.4,No,,226992
Nerul,479.53,,,7,3.0,10.9,,No,5085466
Ulwe,1664.94,3,1.0,30,13.0,6.5,No,Yes,21488508
Airoli,829.07,4,,0,35.0,8.0,no,NO,13311687
KHARGHAR ,585.74,4,2.0,25,30.0,10.1,Yes,No,6861519
 panvel,872.52,3,,21,27.0,11.2,yes,YES,10811592
,791.73,1,,17,10.0,9.9,,,7628999
Kharghar,167.06,2,2.0,26,8.0,4.0,,,2583704
Ghansoli,837.59,4,2.0,22,18.0,10.5,No,YES,12142223
Panvel,456.97,2,4.0,9,7.0,6.8,,,7364907
Ulwe,1461.62,2BHK,4.0,16,7.0,8.0,,YES,19728976
Kharghar,983.11,2BHK,3.0,27,37.0,8.2,yes,No,13813656
Ulwe,1047.24,2,1.0,25,13.0,6.2,,YES,12158425
KHARGHAR ,1337.27,3,4.0,30,9.0,6.0,No,No,17822636
Panvel,9859.37,1,1.0,8,25.0,4.1,Yes,YES,143709572
Vashi,985.46,,4.0,3,20.0,9.2,,Yes,11614294
,1228.22,3,4.0,3,6.0,13.1,No,No,17567813
Kharghar,5007.23,2BHK,4.0,15,23.0,6.6,no,,78147891
CBD Belapur,992.36,1,2.0,30,10.0,11.5,no,,13746869
nerul,1639.88,1,,14,6.0,6.3,no,No,16027500
Nerul,704.81,3,3.0,6,23.0,7.7,No,,10921874
Kharghar,379.55,3,1.0,,1.0,5.2,No,Yes,5523638 INR
CBD Belapur,564.08,2BHK,1.0,14,21.0,5.5,,No,5449266
CBD Belapur,9254.87,2,2.0,19,11.0,13.9,yes,Yes,139020762
Ulwe,4.82,,3.0,23,3.0,4.0,No,Yes,78268 INR
KHARGHAR ,658.62,2BHK,1.0,24,17.0,12.0,,,8764419
Kharghar,1145.45,2BHK,1.0,11,13.0,2.4,no,No,17902200
nerul,727.89,1,,24,38.0,10.6,No,,10648820
Vashi,324.08,4,2.0,22,11.0,8.6,Yes,YES,4498940
Belapur,968.35,3,3.0,29,1.0,12.7,yes,YES,16643085
nerul,924.75,2BHK,1.0,18,2.0,10.4,,Yes,12056954
Airoli,409.78,4,3.0,2,15.0,7.5,,Yes,5386288
KHARGHAR ,1577.02,1,4.0,10,26.0,15.5,No,,19873603
Ulwe,2367.63,4,1.0,27,14.0,3.9,yes,,39990795
Ulwe,232.77,1,2.0,27,2.0,6.3,Yes,No,2835586
Ghansoli,881.9,2BHK,2.0,24,24.0,6.4,No,Yes,15271643
CBD Belapur,418.6,,1.0,,30.0,12.1,Yes,Yes,5720534
Ulwe,982.91,2,1.0,15,16.0,14.4,Yes,,19480352
Belapur,871.41,2BHK,,1,3.0,6.8,no,Yes,8026538
Panvel,984.81,4,1.0,19,17.0,1.8,No,No,13661955 INR
Nerul,1187.01,2,4.0,15,6.0,10.5,No,NO,15327833
KHARGHAR ,1046.3,2BHK,4.0,6,1.0,23.6,,YES,13124327
Belapur,770.36,2,4.0,3,22.0,9.2,Yes,YES,9360166
Kharghar,803.19,,4.0,6,17.0,7.5,,No,10317915
Panvel,1068.25,2,1.0,16,18.0,1.1,,No,14511656 INR
Panvel,992.88,2BHK,3.0,13,38.0,6.1,yes,YES,12113178
Kharghar,1112.69,1,1.0,27,32.0,2.2,No,,12473034
,1264.32,2,,4,22.0,3.2,no,NO,14295129
Panvel,966.51,4,1.0,30,13.0,14.2,Yes,,19395654
Airoli,847.05,,4.0,,16.0,2.0,yes,NO,14709111
Ghansoli,957.54,4,4.0,12,34.0,12.2,Yes,Yes,16792924
Belapur,8999.11,1,4.0,12,9.0,11.3,no,,103258834
 panvel,1183.83,2,,34,9.0,8.0,no,NO,19684995 INR
Nerul,123.09,1,2.0,14,12.0,16.8,Yes,Yes,1429567
Belapur,886.9,2,,10,35.0,4.1,No,Yes,14154814
Nerul,677.65,3,2.0,25,7.0,8.8,no,Yes,5754881
Airoli,448.68,3,3.0,17,10.0,8.3,No,YES,₹8730053
Ulwe,748.54,2,1.0,23,19.0,7.0,No,No,12398927
Airoli,1190.05,2BHK,1.0,0,16.0,5.6,No,,17538963
KHARGHAR ,5401.59,4,2.0,15,3.0,9.2,yes,NO,69093705
Ulwe,934.97,1,,26,8.0,2.4,Yes,YES,17439480 INR
Belapur,1113.2,1,2.0,4,3.0,11.6,yes,YES,₹13577214
Panvel,938.71,4,,9,33.0,16.2,,NO,12665272
Nerul,906.52,,4.0,13,3.0,5.7,,Yes,₹12583200
Belapur,1297.98,2BHK,2.0,34,36.0,6.4,Yes,,18172690
Belapur,929.51,2BHK,3.0,32,23.0,11.8,,,16058661
Nerul,1143.51,2,2.0,6,6.0,11.3,Yes,,13777763
Nerul,1051.48,,2.0,2,24.0,2.6,yes,NO,16745391
Kharghar,912.85,4,1.0,2,4.0,0.4,yes,NO,15640231
Belapur,803.73,2,2.0,2,12.0,11.0,No,No,14330185
Panvel,1834.96,,1.0,25,19.0,10.3,,Yes,22186480
nerul,3182.47,4,4.0,25,5.0,3.9,,No,₹43678454
Panvel,45.27,1,3.0,2,10.0,2.2,Yes,,1117238
Nerul,1522.15,2BHK,1.0,6,31.0,6.6,Yes,NO,24592384
 panvel,614.21,2BHK,,,9.0,15.9,no,YES,9536986
KHARGHAR ,401.99,3,2.0,9,5.0,14.4,No,NO,5079265
Belapur,1042.02,4,4.0,21,14.0,8.7,,Yes,18360608
 panvel,796.41,3,3.0,29,32.0,9.5,Yes,Yes,11323897
Belapur,1087.52,,,19,37.0,7.7,yes,Yes,9784169
Ghansoli,3788.7,1,4.0,22,9.0,23.2,no,YES,₹58093479
CBD Belapur,1574.9,3,1.0,5,20.0,11.7,yes,YES,19923983
Panvel,718.71,3,1.0,10,39.0,14.7,,Yes,13101308
Ghansoli,933.41,,1.0,13,1.0,1.4,,NO,11567715
Ghansoli,1577.95,3,4.0,5,28.0,8.4,No,,31516423
,917.76,2BHK,2.0,18,17.0,3.0,Yes,YES,10198250
Nerul,937.18,2BHK,2.0,21,24.0,8.2,yes,YES,13082156
KHARGHAR ,778.39,2,1.0,15,21.0,2.2,yes,,8846548
Airoli,1676.64,2,4.0,31,26.0,3.2,,No,21572741
Belapur,903.25,1,4.0,26,25.0,0.2,yes,No,10098819
 panvel,1285.13,3,4.0,33,34.0,7.4,,YES,22940284
Ghansoli,26.68,3,1.0,4,31.0,23.8,Yes,NO,932195
Airoli,1316.53,2BHK,4.0,26,39.0,10.1,No,,16186433
Panvel,1150.27,3,3.0,,20.0,8.3,no,YES,13429997
Belapur,881.69,3,2.0,32,25.0,2.6,,YES,11836611
Kharghar,609.44,4,4.0,11,11.0,9.1,Yes,Yes,9350546
 panvel,1233.97,1,4.0,23,13.0,14.4,no,Yes,12185741 INR
Belapur,856.6,3,4.0,31,26.0,23.8,,YES,9762427
CBD Belapur,1433.12,3,,24,7.0,6.1,no,,25426153
Panvel,133.11,2,,2,37.0,17.7,No,Yes,2755057
Ghansoli,1004.73,2BHK,,29,36.0,0.9,No,Yes,13218227
Vashi,1313.9,3,2.0,31,14.0,6.8,yes,YES,21595119
Belapur,644.99,2BHK,3.0,11,37.0,14.2,no,YES,10283522
KHARGHAR ,769.92,2,1.0,4,15.0,8.4,no,No,15332614
Belapur,1405.49,,3.0,26,8.0,20.6,no,Yes,21096934
Nerul,697.66,2BHK,1.0,26,15.0,6.2,No,No,7850089
Belapur,1621.08,3,3.0,5,36.0,4.7,no,Yes,28547343
Panvel,819.19,1,2.0,14,39.0,6.7,no,,9437699
KHARGHAR ,1235.84,3,4.0,10,,4.3,No,YES,18150059
nerul,895.02,2,2.0,22,25.0,9.5,,,12218733
Kharghar,1231.49,1,1.0,23,36.0,2.6,no,Yes,22772462
,1193.65,4,,,36.0,11.4,No,NO,₹21286358
Ghansoli,1732.87,2BHK,,31,15.0,6.9,Yes,,₹18110169
Nerul,1218.81,,2.0,21,29.0,5.5,Yes,NO,13073456
,936.0,1,,18,19.0,3.1,No,,15442355
nerul,799.8,2,3.0,Ground,6.0,4.1,Yes,Yes,14365399
KHARGHAR ,765.74,1,4.0,24,39.0,14.3,no,,8703932
Airoli,1167.21,4,3.0,28,12.0,6.6,Yes,No,₹14350286
Kharghar,1738.35,2,,24,24.0,7.9,yes,,22008701
Kharghar,1824.29,2BHK,1.0,0,16.0,6.5,no,No,21500843
Kharghar,1011.62,,,2,8.0,7.7,yes,YES,13380852
Ghansoli,628.09,2,3.0,2,1.0,2.0,yes,,6095882
 panvel,1789.89,,3.0,27,39.0,6.5,yes,YES,17638961
CBD Belapur,269.93,2BHK,2.0,25,39.0,3.3,,,4861380
Panvel,1431.85,2,3.0,9,39.0,13.1,Yes,YES,24472020
Ghansoli,1124.62,2,3.0,6,27.0,13.4,Yes,,17165804
Panvel,238.51,2BHK,4.0,29,19.0,17.0,no,,3228617
Panvel,9859.37,1,1.0,8,25.0,4.1,Yes,YES,143709572
CBD Belapur,1012.85,4,2.0,1,19.0,9.1,no,Yes,17787075 INR
Panvel,478.99,3,4.0,10,11.0,9.4,No,,9470667
nerul,545.16,2,3.0,27,1.0,1.9,,YES,8182487
Ghansoli,1530.85,2,,15,27.0,8.1,,No,16959365
Nerul,711.02,,4.0,9,12.0,11.4,Yes,No,7038059
CBD Belapur,1210.45,2,4.0,11,24.0,7.2,no,Yes,18157159
 panvel,492.81,1,2.0,27,28.0,2.7,no,Yes,9380518
 panvel,811.32,3,1.0,24,17.0,13.8,Yes,NO,8657909
Panvel,1300.7,3,2.0,19,1.0,11.3,,No,23969023
Nerul,739.75,1,4.0,1,33.0,8.2,no,NO,11394870
CBD Belapur,1123.97,2BHK,4.0,15,21.0,3.5,,YES,11620991
Kharghar,1295.83,3,3.0,12,18.0,15.7,Yes,No,15261303 INR
Ulwe,1034.73,3,4.0,12,2.0,3.1,no,YES,15061959
Ghansoli,681.47,3,,9,28.0,8.8,yes,Yes,12937596
nerul,742.53,2,3.0,16,26.0,13.1,Yes,YES,12200750
Kharghar,999.37,2,1.0,16,10.0,0.7,no,NO,14971631
CBD Belapur,790.93,3,1.0,6,1.0,0.9,,No,16146466
KHARGHAR ,438.03,1,,2,23.0,6.6,,NO,5480381
Ulwe,70.48,3,3.0,23,33.0,10.6,no,NO,984418
Nerul,1228.43,1,,27,8.0,5.2,yes,NO,₹15280347
Panvel,873.8,4,3.0,10,30.0,9.9,no,Yes,10283192
 panvel,1102.62,2BHK,3.0,22,18.0,11.8,No,,10548042
,1438.49,,4.0,24,9.0,5.1,no,No,17755000
KHARGHAR ,245.89,3,3.0,26,7.0,2.3,,,3375725
Airoli,438.17,2,3.0,32,36.0,4.3,Yes,YES,5072237
 panvel,1569.46,1,1.0,32,14.0,9.9,,YES,₹22801419
nerul,1241.05,4,,7,23.0,8.3,yes,NO,13865237
,798.36,4,,3,34.0,12.3,no,NO,9727245
Panvel,925.65,3,1.0,Ground,15.0,0.5,,No,₹14452896
,1080.22,1,1.0,13,2.0,21.5,no,,17309419
Ulwe,241.9,3,3.0,14,22.0,1.8,No,Yes,5016522
Belapur,805.48,4,2.0,2,16.0,7.6,,NO,11671777
Ghansoli,941.19,2,3.0,9,38.0,14.7,,YES,15599686
KHARGHAR ,4150.97,3,2.0,14,29.0,0.6,no,NO,78168440
CBD Belapur,705.35,,4.0,18,,5.7,no,NO,7117545
Airoli,1234.78,3,4.0,25,30.0,2.2,Yes,NO,23708314
 panvel,923.54,2BHK,,4,7.0,4.1,,Yes,13391176
 panvel,836.05,1,,31,36.0,6.5,,,15467881
Ulwe,1255.38,3,,25,23.0,15.0,yes,NO,16797300
Ghansoli,298.85,4,4.0,24,30.0,0.0,yes,YES,6993946
nerul,829.82,2BHK,2.0,,9.0,11.7,,YES,9486584
,211.52,2,,17,18.0,2.4,yes,Yes,2512477
Kharghar,1449.39,3,,29,2.0,20.2,,,16983629
Nerul,1376.48,4,,Ground,39.0,2.2,yes,NO,19921510
Ghansoli,782.98,1,4.0,3,14.0,1.1,Yes,,13588388 INR
Panvel,903.37,2,3.0,12,16.0,9.3,No,No,₹10283939
Nerul,1221.49,2BHK,,15,6.0,2.4,yes,No,11710488
CBD Belapur,291.25,,1.0,23,,11.6,Yes,Yes,3407919
Kharghar,631.15,3,1.0,0,16.0,8.2,yes,NO,8036089
Belapur,1062.4,3,4.0,Ground,34.0,4.3,yes,NO,12221078
Belapur,510.74,2BHK,1.0,25,7.0,5.8,No,Yes,4574620
Airoli,1306.0,1,2.0,16,33.0,17.5,Yes,YES,14145458
nerul,848.02,4,1.0,22,29.0,9.5,no,,18309998 INR
Ulwe,961.38,2,1.0,24,31.0,4.5,,Yes,18118920
KHARGHAR ,4659.0,2BHK,1.0,3,25.0,3.3,Yes,Yes,58577976
,959.01,3,1.0,0,11.0,5.7,no,Yes,9826845
KHARGHAR ,1291.59,4,2.0,Ground,27.0,10.5,yes,NO,27584865
Airoli,1657.65,2,1.0,28,20.0,5.8,yes,NO,29584317
Vashi,1099.06,,3.0,9,29.0,9.0,,Yes,₹15256295
nerul,100.87,2,1.0,25,29.0,15.2,No,,750665
Panvel,757.95,4,,2,5.0,8.8,No,,15040622
Vashi,639.76,2,1.0,13,28.0,3.2,Yes,,9532946
Ghansoli,1417.29,,,16,19.0,2.8,yes,No,18141522
Vashi,1226.1,3,1.0,9,15.0,7.0,,YES,19492742
CBD Belapur,1413.73,,3.0,22,5.0,1.5,,,16761446
Kharghar,643.0,3,1.0,26,17.0,12.6,,Yes,9221620
Ghansoli,917.83,2,4.0,34,22.0,5.2,,YES,17061797
Ghansoli,1123.72,3,,32,5.0,3.9,yes,NO,18918166
Ulwe,1224.74,3,1.0,20,22.0,4.4,,YES,17867921
Airoli,689.67,2,1.0,26,24.0,8.0,No,NO,6024012
Ulwe,670.2,1,4.0,30,29.0,0.5,No,Yes,7954354
,700.26,3,2.0,30,24.0,6.9,yes,Yes,10807121
Kharghar,558.69,2,1.0,0,22.0,5.0,No,No,7964451
nerul,739.57,,2.0,30,23.0,7.9,no,No,5861026
Panvel,1072.58,,2.0,15,15.0,8.0,no,No,₹14144587
Nerul,1077.35,3,1.0,5,24.0,9.7,,YES,12604074
Vashi,1414.56,3,3.0,31,27.0,3.1,yes,No,25942483
Vashi,1042.21,1,3.0,22,13.0,9.6,No,No,9687622
Kharghar,1052.0,3,,,26.0,14.6,no,No,16488870
nerul,1406.93,1,1.0,13,11.0,1.3,yes,Yes,19452607
Ghansoli,1490.43,,4.0,3,37.0,13.3,no,No,27120156
Airoli,1076.46,,3.0,17,24.0,10.8,Yes,,9571962
CBD Belapur,430.67,2BHK,2.0,24,1.0,7.1,Yes,NO,4414122
Ulwe,588.94,2BHK,4.0,5,30.0,24.2,Yes,YES,6578835
Belapur,1632.64,,,0,36.0,13.2,yes,Yes,14162184
Ulwe,700.86,,3.0,34,6.0,5.5,,No,11583450
Panvel,896.64,2BHK,4.0,4,8.0,14.4,no,,7815736
Nerul,1253.57,3,2.0,24,9.0,9.7,No,Yes,16133517 INR
Kharghar,1056.14,,,6,39.0,4.5,yes,Yes,14983547
Belapur,1481.27,1,1.0,15,20.0,5.0,,Yes,21749900
Airoli,1798.4,4,,22,5.0,13.9,,YES,29012993
Panvel,520.14,4,1.0,2,13.0,3.3,Yes,YES,8744846
Ghansoli,1538.56,3,1.0,11,30.0,5.8,no,YES,16497191
Panvel,1384.37,4,,14,38.0,14.3,No,,16200360
Nerul,1439.54,1,1.0,4,18.0,10.0,Yes,,20113544
Ulwe,888.88,1,1.0,11,21.0,17.0,no,No,10068604
 panvel,1732.83,2,4.0,6,34.0,6.6,No,NO,29166551
 panvel,754.61,1,4.0,4,25.0,17.6,No,Yes,10601369
Vashi,554.87,3,4.0,9,28.0,13.6,yes,NO,6359586
KHARGHAR ,571.4,,1.0,9,26.0,6.9,no,YES,9954080
Airoli,598.42,4,,10,2.0,9.8,Yes,,₹10695800
Panvel,1145.18,1,3.0,12,9.0,4.1,yes,No,15829757
KHARGHAR ,465.94,2BHK,3.0,13,31.0,17.5,Yes,YES,6238149
Kharghar,1372.42,,4.0,28,18.0,9.3,,NO,24465705 INR
Vashi,205.82,1,3.0,Ground,31.0,13.2,No,Yes,3031555
nerul,1332.89,2BHK,,11,21.0,4.5,Yes,,₹22398435
KHARGHAR ,1053.01,4,2.0,11,8.0,4.5,Yes,NO,22531021
Airoli,1836.22,3,4.0,8,31.0,11.3,no,,29165711
CBD Belapur,1186.0,4,3.0,24,11.0,23.2,yes,YES,20963866
Nerul,904.47,,4.0,4,34.0,14.5,No,YES,10511579
nerul,1861.3,2BHK,3.0,3,26.0,3.8,No,NO,19755089
CBD Belapur,875.6,,2.0,13,13.0,11.5,,YES,13794402
Belapur,1394.12,2BHK,3.0,23,12.0,0.9,no,NO,19530680
KHARGHAR ,1241.93,2,2.0,10,10.0,16.4,no,No,23921926
 panvel,636.04,2,3.0,5,15.0,11.9,yes,No,11604674
Ghansoli,1224.68,2BHK,,25,13.0,10.7,yes,,19207561
Airoli,803.5,4,2.0,9,13.0,6.5,Yes,Yes,12903416
Vashi,1407.5,,3.0,4,22.0,10.0,Yes,,20314651
Vashi,679.93,4,,18,35.0,7.1,no,No,9958093
Ghansoli,768.92,4,1.0,34,13.0,1.0,no,YES,8496089 INR
Airoli,1030.18,1,2.0,13,36.0,6.1,yes,Yes,15157850
KHARGHAR ,726.39,4,3.0,12,8.0,0.6,no,Yes,10606944
Kharghar,1532.88,2,3.0,26,37.0,18.1,no,No,14848881
KHARGHAR ,527.56,2,3.0,28,34.0,3.3,yes,Yes,8880572
Panvel,1325.17,,3.0,12,2.0,8.1,,,14188326
Airoli,1278.06,2BHK,2.0,25,2.0,7.6,no,,12155944
Nerul,1421.54,,2.0,15,9.0,6.1,no,No,15623134
CBD Belapur,590.94,2,1.0,15,24.0,4.2,No,Yes,11306180
Ulwe,527.96,1,,13,24.0,12.9,,No,8383579
Belapur,1157.74,2,1.0,10,5.0,13.0,No,No,18244919
Nerul,887.83,3,1.0,1,15.0,1.1,,Yes,₹17286419
Belapur,1229.53,4,1.0,19,27.0,16.7,Yes,YES,23531357
 panvel,1197.64,1,,5,19.0,8.5,No,YES,21649917
Kharghar,1731.3,,,16,1.0,4.8,yes,YES,28349828
nerul,1131.3,2,2.0,1,28.0,3.4,no,YES,16156568
 panvel,1270.43,1,2.0,14,3.0,1.3,,No,13248318
 panvel,973.15,4,2.0,21,25.0,6.4,No,,13210398
CBD Belapur,760.54,1,1.0,1,33.0,25.7,,,11418382
Vashi,973.28,1,4.0,14,12.0,1.1,,NO,17703417
KHARGHAR ,672.68,4,,25,35.0,9.5,Yes,YES,13739940
KHARGHAR ,711.96,3,,34,10.0,6.3,No,NO,7771389
Kharghar,955.45,1,1.0,Ground,9.0,9.0,yes,Yes,13174422
,421.02,4,1.0,Ground,16.0,10.9,No,Yes,6220156
Kharghar,1283.57,,,24,10.0,10.8,No,Yes,13673039
Ulwe,830.47,2BHK,,12,28.0,5.9,Yes,NO,7150110
Airoli,841.94,1,4.0,30,30.0,11.6,yes,,13042282
CBD Belapur,630.68,2,,31,6.0,0.3,,NO,10395127
Ulwe,1081.64,2,1.0,23,9.0,15.5,,YES,14138286
Vashi,1301.66,1,1.0,16,35.0,7.7,Yes,NO,16603157
Ghansoli,835.6,2,3.0,28,9.0,14.6,No,,13406789 INR
nerul,891.86,,,17,21.0,10.1,No,YES,11203950
Kharghar,1307.18,4,4.0,5,33.0,19.0,No,No,26204667
nerul,1236.26,1,2.0,10,32.0,10.5,Yes,,20368853
CBD Belapur,968.77,3,2.0,2,39.0,19.4,yes,YES,17024991
Ulwe,674.36,1,2.0,18,12.0,10.8,No,NO,12336359
Ghansoli,1414.75,,1.0,33,17.0,2.4,no,No,14047009
Ghansoli,737.42,,3.0,27,11.0,1.4,No,YES,9690467
Panvel,896.28,2BHK,3.0,9,7.0,12.9,Yes,Yes,9720795
Nerul,1648.95,1,3.0,7,26.0,13.6,yes,,29419393
Kharghar,1102.38,,,6,30.0,5.3,Yes,YES,16689881
Vashi,2025.91,2,3.0,25,30.0,10.3,No,,30209785 INR
Nerul,1000.23,1,4.0,32,18.0,7.0,yes,NO,12528012
Nerul,743.26,4,2.0,9,8.0,11.7,yes,YES,11968200
 panvel,1445.83,1,3.0,27,31.0,5.6,Yes,NO,14520988
 panvel,969.13,,2.0,23,37.0,4.6,no,Yes,₹12064197
KHARGHAR ,794.59,4,4.0,31,38.0,10.0,,,8861857 INR
Ghansoli,952.15,3,4.0,30,10.0,9.9,,NO,14259865
Airoli,1925.9,4,2.0,30,5.0,12.1,No,NO,36024231
Panvel,689.39,1,3.0,19,6.0,8.4,,YES,9460113
Panvel,4705.44,2,3.0,32,3.0,9.9,no,,81729096
 panvel,277.37,4,3.0,3,18.0,8.7,Yes,No,5327003
Airoli,1075.15,3,1.0,22,2.0,8.4,,,19155035
Airoli,1257.33,2,2.0,18,34.0,4.3,No,,22628336
,985.44,2,2.0,12,9.0,5.0,,No,12205140
Vashi,889.16,4,,12,17.0,17.3,No,,16013631
Belapur,761.16,,1.0,13,11.0,3.9,no,Yes,11200907
,647.68,1,2.0,27,27.0,14.3,Yes,Yes,7946088
KHARGHAR ,1195.27,2,4.0,22,22.0,10.3,Yes,YES,14458629
 panvel,1093.34,2,4.0,19,14.0,0.8,,Yes,14605471
Airoli,1579.66,1,,26,37.0,5.9,Yes,NO,26383093
Belapur,1461.17,,2.0,31,21.0,6.4,no,YES,17364266
nerul,875.21,4,,19,12.0,8.3,no,Yes,18846356
Nerul,1251.98,2,,7,6.0,3.7,yes,,24461920
,934.67,1,2.0,9,33.0,12.9,No,No,14117358
CBD Belapur,670.95,2,,21,30.0,2.3,,NO,8167802
Ulwe,1143.55,,2.0,17,10.0,1.4,yes,NO,12878418
 panvel,2007.74,2BHK,,29,37.0,1.0,no,,22317934
Airoli,581.42,1,,19,22.0,4.6,no,YES,5521254
Nerul,1459.2,1,2.0,14,34.0,14.1,no,Yes,₹22172149
 panvel,122.82,4,1.0,33,7.0,1.2,no,YES,824504
Ghansoli,1294.47,,4.0,12,34.0,1.5,yes,YES,12020362
Panvel,1305.66,3,3.0,33,31.0,1.3,Yes,YES,26738352
Belapur,918.89,,1.0,8,34.0,5.3,,,15067913
Nerul,1124.27,,3.0,14,6.0,11.7,no,NO,₹12873786
Airoli,855.72,4,2.0,29,32.0,14.2,No,,12988255
,1177.38,,,1,25.0,11.6,yes,NO,13737406
Belapur,477.91,1,,8,30.0,10.5,,NO,8456886
KHARGHAR ,874.44,3,2.0,9,27.0,11.3,,NO,9121895
KHARGHAR ,1558.04,3,2.0,18,14.0,8.8,Yes,,23830947
Airoli,881.7,1,,,24.0,6.4,Yes,No,15413988
Ulwe,868.51,2BHK,,34,8.0,18.8,No,Yes,13893854
Belapur,1174.9,1,1.0,33,20.0,12.6,,Yes,19758446
Belapur,779.67,2,1.0,28,11.0,1.9,,YES,13419723
KHARGHAR ,1228.72,2,3.0,17,6.0,17.9,No,,16873551
nerul,63.69,,3.0,10,7.0,22.3,Yes,,826945
Belapur,535.45,1,1.0,15,27.0,3.0,No,No,9638370
Nerul,961.52,3,3.0,5,5.0,8.7,No,NO,10800945
nerul,1045.79,4,4.0,32,24.0,3.3,Yes,NO,15803253
Kharghar,1553.91,,,5,28.0,10.4,,YES,₹26246899
